Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
kal-mix-D-25Jul-2,kal-mix-D-25Jul-222,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-10 11:35,54,54,0,354.5,PIPP3G1
fri-mix-D-26Jul,fri-mix-D-26Jul22,"Frill, Mix (D)",2022-08-10 10:25,45,45,0,221,PIPP1K2
fri-mix-D-26Jul-2,fri-mix-D-26Jul-222,"Frill, Mix (D)",2022-08-10 11:17,45,45,0,150,PIPP3K2
car-mcg-C-27Jul,car-mcg-C-27Jul22,Carrot micros (C),2022-08-10 9:58,5,5,0,13.5,PIPP3A1
sun-blk-B-01Aug-2,sun-blk-B-01Aug-222,"Sunflower, Black Oil (B)",2022-08-09 8:32,16,16,0,88,PIPP3A3
rad-pur-B-01Aug,rad-pur-B-01Aug22,"Radish, Purple (B)",2022-08-10 12:26,12,12,0,77.5,PIPP4B2
aru-mcg-B-01Aug,aru-mcg-B-01Aug22,"Arugula, microgreens (B)",2022-08-10 12:26,18,18,0,83,PIPP3A5
dil-fer-D-07Jul,dil-fer-D-07Jul22,"Dill, Fernleaf (D)",2022-08-03 10:18,26,26,0,76,PIPP3M4
let-rom-D-19Jul-2,let-rom-D-19Jul-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-11 8:30,18,18,0,180,PIPP3F1
par-flt-C-20Jul,par-flt-C-20Jul22,"Parsley, Italian Flat (C)",2022-08-11 9:33,30,30,0,67.5,PIPP3C2
pea-gry-B-01Aug,pea-gry-B-01Aug22,"Peas, Dwarf Grey (B)",2022-08-11 8:37,18,18,0,115.5,PIPP4A4
sun-blk-B-02Aug-2,sun-blk-B-02Aug-222,"Sunflower, Black Oil (B)",2022-08-11 8:54,32,32,0,187,PIPP3A3
pea-gry-B-02Aug-2,pea-gry-B-02Aug-222,"Peas, Dwarf Grey (B)",2022-08-11 8:43,9,9,0,137.5,PIPP3A4
aru-mcg-B-02Aug-2,aru-mcg-B-02Aug-222,"Arugula, microgreens (B)",2022-08-11 9:20,18,18,0,39,PIPP4A5
koh-pur-B-03Aug,koh-pur-B-03Aug22,"Kohlrabi, Purple Vienna (B)",2022-08-11 9:33,9,9,0,44.5,PIPP3B4
mus-mix-B-03Aug,mus-mix-B-03Aug22,Mustard Micro Mix (B),2022-08-11 9:11,2,2,0,16.5,PIPP3B3
sun-blk-B-03Aug,sun-blk-B-03Aug22,"Sunflower, Black Oil (B)",2022-08-11 8:58,32,32,0,129.5,PIPP3A2
was-mus-B-03Aug,was-mus-B-03Aug22,Wasabi (B),2022-08-11 8:58,6,6,0,51,PIPP4A1
let-rom-D-20Jul-3,let-rom-D-20Jul-322,"Lettuce, Romaine 'Parris Island' (D)",2022-08-12 10:09,18,18,0,174,PIPP4F1
miz-rst-D-27Jul,miz-rst-D-27Jul22,"Mizuna, Red Streaks (D)",2022-08-12 9:11,12,12,0,96.5,PIPP1H4
kal-mix-D-27Jul,kal-mix-D-27Jul22,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-12 9:06,138,138,0,687.5,PIPP1F5
miz-rst-D-27Jul-2,miz-rst-D-27Jul-222,"Mizuna, Red Streaks (D)",2022-08-12 10:00,18,18,0,104,PIPP4J2
kal-mix-D-27Jul-2,kal-mix-D-27Jul-222,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-12 10:21,54,54,0,99,PIPP3H3
fri-mix-D-28Jul-2,fri-mix-D-28Jul-222,"Frill, Mix (D)",2022-08-12 9:55,45,45,0,285,PIPP3L3
fri-mix-D-28Jul,fri-mix-D-28Jul22,"Frill, Mix (D)",2022-08-12 9:27,45,45,0,398,PIPP1J3
rad-pur-B-03Aug,rad-pur-B-03Aug22,"Radish, Purple (B)",2022-08-12 10:21,12,12,0,48,PIPP3B1
aru-mcg-B-03Aug,aru-mcg-B-03Aug22,"Arugula, microgreens (B)",2022-08-12 11:35,18,18,0,75.5,PIPP3A6
bro-wal-B-04Aug,bro-wal-B-04Aug22,Broccoli Waltham 29 (B),2022-08-12 10:21,6,6,0,12,PIPP3A7
rad-dai-B-05Aug,rad-dai-B-05Aug22,"Radish, Daikon (B)",2022-08-12 10:21,12,12,0,46,PIPP3B1
rad-red-B-05Aug,rad-red-B-05Aug22,"Radish, Red Arrow (B)",2022-08-12 10:27,16,16,0,82,PIPP4B1
cel-uth-C-22Jul,cel-uth-C-22Jul22,Celery (C),2022-08-15 9:38,9,9,0,48,PIPP3C7
cil-spl-C-25Jul,cil-spl-C-25Jul22,"Cilantro, Split (C)",2022-08-15 9:57,25,25,0,125,PIPP3C5
let-rom-D-26Jul,let-rom-D-26Jul22,"Lettuce, Romaine 'Parris Island' (D)",2022-08-15 8:20,38,38,0,506,PIPP1H2
pak-rub-D-28Jul,pak-rub-D-28Jul22,"Pak Choi, Rubi (D)",2022-08-15 8:32,45,44,1,370.5,PIPP1J6
car-mcg-C-01Aug,car-mcg-C-01Aug22,Carrot micros (C),2022-08-15 8:45,5,5,0,7,PIPP3A1
was-mus-B-08Aug,was-mus-B-08Aug22,Wasabi (B),2022-08-15 15:22,6,6,0,15,PIPP4A1
dil-fer-D-08Jul-2,dil-fer-D-08Jul-222,"Dill, Fernleaf (D)",2022-08-08 12:13,18,18,0,37.5,PIPP4M2
bas-ita-D-25Jul,bas-ita-D-25Jul22,"Basil, Italian Large Leaf (D)",2022-08-16 14:34,3,3,0,21,PIPP4A1
par-flt-C-25Jul,par-flt-C-25Jul22,"Parsley, Italian Flat (C)",2022-08-17 10:09,30,30,0,118.5,PIPP3B6
