Tray Code,Batch ID,Varietal,Harvest Date,Seeded Tray Quantity,Harvest Tray Quantity,Destroyed Trays,Total Harvest Yield (oz),Last Subzone
aru-mcg-B-10Aug,aru-mcg-B-10Aug22,"Arugula, microgreens (B)",2022-08-19 10:50,18,18,0,91,PIPP3A6
bro-wal-B-11Aug,bro-wal-B-11Aug22,Broccoli Waltham 29 (B),2022-08-19 10:20,6,6,0,32.5,PIPP4A6
rad-dai-B-12Aug,rad-dai-B-12Aug22,"Radish, Daikon (B)",2022-08-19 10:16,12,12,0,79,PIPP3B2
rad-red-B-12Aug,rad-red-B-12Aug22,"Radish, Red Arrow (B)",2022-08-19 9:47,16,16,0,72,PIPP4B2
sor-red-D-26Jul,sor-red-D-26Jul22,"Sorrel, Red-Veined (D)",2022-08-22 14:57,32,32,0,122,PIPP1F6
cel-uth-C-29Jul,cel-uth-C-29Jul22,Celery (C),2022-08-22 15:12,9,9,0,43.5,PIPP3C7
cil-spl-C-01Aug,cil-spl-C-01Aug22,"Cilantro, Split (C)",2022-08-22 9:52,25,25,0,89,PIPP3D2
bas-ita-D-01Aug,bas-ita-D-01Aug22,"Basil, Italian Large Leaf (D)",2022-08-22 11:04,3,3,0,20.5,PIPP4A1
let-rom-D-02Aug,let-rom-D-02Aug22,"Lettuce, Romaine 'Parris Island' (D)",2022-08-22 8:41,38,38,0,480,PIPP1H2
pak-rub-D-04Aug,pak-rub-D-04Aug22,"Pak Choi, Rubi (D)",2022-08-22 14:57,45,45,0,588.5,PIPP1I7
car-mcg-C-08Aug,car-mcg-C-08Aug22,Carrot micros (C),2022-08-22 8:56,5,5,0,15,PIPP3A1
par-flt-C-01Aug,par-flt-C-01Aug22,"Parsley, Italian Flat (C)",2022-08-23 10:34,30,30,0,189,PIPP3C1
let-rom-D-03Aug-2,let-rom-D-03Aug-222,"Lettuce, Romaine 'Parris Island' (D)",2022-08-23 10:33,38,38,0,585.5,PIPP1I3
pak-rub-D-05Aug-2,pak-rub-D-05Aug-222,"Pak Choi, Rubi (D)",2022-08-23 10:34,45,45,0,480.5,PIPP1K6
bro-wal-B-15Aug,bro-wal-B-15Aug22,Broccoli Waltham 29 (B),2022-08-23 10:34,6,6,0,36,PIPP3A7
koh-pur-B-15Aug,koh-pur-B-15Aug22,"Kohlrabi, Purple Vienna (B)",2022-08-23 10:34,9,9,0,62.5,PIPP3B4
was-mus-B-15Aug,was-mus-B-15Aug22,Wasabi (B),2022-08-23 10:34,4,4,0,16.5,PIPP4A1
rad-dai-B-16Aug,rad-dai-B-16Aug22,"Radish, Daikon (B)",2022-08-23 10:34,12,12,0,108.5,PIPP3B2
rad-red-B-16Aug,rad-red-B-16Aug22,"Radish, Red Arrow (B)",2022-08-23 10:34,18,18,0,102,PIPP3B2
dil-fer-D-21Jul,dil-fer-D-21Jul22,"Dill, Fernleaf (D)",2022-08-17 9:53,26,26,0,66.5,PIPP1N1
sor-red-D-28Jul,sor-red-D-28Jul22,"Sorrel, Red-Veined (D)",2022-08-24 10:40,32,32,0,186,PIPP3E2
par-flt-C-02Aug,par-flt-C-02Aug22,"Parsley, Italian Flat (C)",2022-08-24 10:40,30,30,0,265.5,PIPP3C3
miz-rst-D-08Aug,miz-rst-D-08Aug22,"Mizuna, Red Streaks (D)",2022-08-24 10:40,12,12,0,103.5,PIPP1H2
kal-mix-D-08Aug,kal-mix-D-08Aug22,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-24 10:40,138,137,1,683.5,PIPP1E1
miz-rst-D-08Aug-2,miz-rst-D-08Aug-222,"Mizuna, Red Streaks (D)",2022-08-24 10:40,18,18,0,110,PIPP3J2
kal-mix-D-08Aug-2,kal-mix-D-08Aug-222,"Kale, Mix (Scotch, Red Russian, Lacinato)",2022-08-24 10:40,54,54,0,211,PIPP3G1
fri-mix-D-09Aug,fri-mix-D-09Aug22,"Frill, Mix (D)",2022-08-24 10:41,45,45,0,303.5,PIPP1K4
fri-mix-D-09Aug-2,fri-mix-D-09Aug-222,"Frill, Mix (D)",2022-08-24 10:41,45,45,0,225,PIPP3K2
car-mcg-C-10Aug,car-mcg-C-10Aug22,Carrot micros (C),2022-08-24 10:41,5,5,0,18.5,PIPP3A1
sun-blk-B-15Aug,sun-blk-B-15Aug22,"Sunflower, Black Oil (B)",2022-08-24 10:40,32,32,0,212,PIPP4A3
sun-blk-B-15Aug-2,sun-blk-B-15Aug-222,"Sunflower, Black Oil (B)",2022-08-24 10:27,16,16,0,76,PIPP3A3
rad-pur-B-15Aug,rad-pur-B-15Aug22,"Radish, Purple (B)",2022-08-24 10:51,12,12,0,31,PIPP4B2
aru-mcg-B-15Aug,aru-mcg-B-15Aug22,"Arugula, microgreens (B)",2022-08-24 11:50,18,18,0,78,PIPP3A5
